#OTU ID	CZ.MB64.S64.L001.R1	CZ.MB6.S6.L001.R1	CZ.MB71.S71.L001.R1	CZ.MB132.S132.L001.R1	CZ.MB115.S115.L001.R1	CZ.MB22.S22.L001.R1	CZ.MB41.S41.L001.R1	CZ.MB43.S43.L001.R1	CZ.MB120.S120.L001.R1	CZ.MB96.S96.L001.R1	CZ.MB128.S128.L001.R1	CZ.MB54.S54.L001.R1	CZ.MB107.S107.L001.R1	CZ.MB57.S57.L001.R1	CZ.MB29.S29.L001.R1	CZ.MB93.S93.L001.R1	CZ.MB4.S4.L001.R1	CZ.MB34.S34.L001.R1	CZ.MB116.S116.L001.R1	CZ.MB124.S124.L001.R1	CZ.MB26.S26.L001.R1	CZ.MB123.S123.L001.R1	CZ.MB136.S136.L001.R1	CZ.MB39.S39.L001.R1	CZ.MB55.S55.L001.R1	CZ.MB45.S45.L001.R1	CZ.MB89.S89.L001.R1	CZ.MB135.S135.L001.R1	CZ.MB72.S72.L001.R1	CZ.MB80.S80.L001.R1	CZ.MB127.S127.L001.R1	CZ.MB68.S68.L001.R1	CZ.MB84.S84.L001.R1	CZ.MB70.S70.L001.R1	CZ.MB90.S90.L001.R1	CZ.MB103.S103.L001.R1	CZ.MB105.S105.L001.R1	CZ.MB108.S108.L001.R1	CZ.MB94.S94.L001.R1	CZ.MB106.S106.L001.R1	CZ.MB112.S112.L001.R1	CZ.MB73.S73.L001.R1	CZ.MB51.S51.L001.R1	CZ.MB98.S98.L001.R1	CZ.MB77.S77.L001.R1	CZ.MB53.S53.L001.R1	CZ.MB91.S91.L001.R1	CZ.MB24.S24.L001.R1	CZ.MB56.S56.L001.R1	CZ.MB87.S87.L001.R1	CZ.MB20.S20.L001.R1	CZ.MB61.S61.L001.R1	CZ.MB113.S113.L001.R1	CZ.MB104.S104.L001.R1	CZ.MB110.S110.L001.R1	CZ.MB109.S109.L001.R1	CZ.MB5.S5.L001.R1	CZ.MB85.S85.L001.R1	CZ.MB1.S1.L001.R1	CZ.MB97.S97.L001.R1	CZ.MB44.S44.L001.R1	CZ.MB100.S100.L001.R1	CZ.MB119.S119.L001.R1	CZ.MB82.S82.L001.R1	CZ.MB17.S17.L001.R1	CZ.MB122.S122.L001.R1	CZ.MB28.S28.L001.R1	CZ.MB88.S88.L001.R1	CZ.MB19.S19.L001.R1	CZ.MB81.S81.L001.R1	CZ.MB83.S83.L001.R1	CZ.MB25.S25.L001.R1	CZ.MB133.S133.L001.R1	CZ.MB121.S121.L001.R1	CZ.MB99.S99.L001.R1	CZ.MB42.S42.L001.R1	CZ.MB69.S69.L001.R1	CZ.MB86.S86.L001.R1	CZ.MB31.S31.L001.R1	CZ.MB30.S30.L001.R1	CZ.MB47.S47.L001.R1	CZ.MB7.S7.L001.R1	CZ.MB134.S134.L001.R1	CZ.MB8.S8.L001.R1	CZ.MB27.S27.L001.R1	CZ.MB32.S32.L001.R1	CZ.MB2.S2.L001.R1	CZ.MB67.S67.L001.R1	CZ.MB52.S52.L001.R1	CZ.MB9.S9.L001.R1	CZ.MB102.S102.L001.R1	CZ.MB60.S60.L001.R1	CZ.MB16.S16.L001.R1	CZ.MB63.S63.L001.R1	CZ.MB92.S92.L001.R1	CZ.MB50.S50.L001.R1	CZ.MB79.S79.L001.R1	CZ.MB48.S48.L001.R1	CZ.MB21.S21.L001.R1	CZ.MB62.S62.L001.R1	CZ.MB36.S36.L001.R1	CZ.MB111.S111.L001.R1	CZ.MB58.S58.L001.R1	CZ.MB114.S114.L001.R1	CZ.MB3.S3.L001.R1	CZ.MB118.S118.L001.R1	CZ.MB126.S126.L001.R1	CZ.MB65.S65.L001.R1	CZ.MB117.S117.L001.R1	CZ.MB38.S38.L001.R1	CZ.MB78.S78.L001.R1	CZ.MB12.S12.L001.R1	CZ.MB37.S37.L001.R1	CZ.MB10.S10.L001.R1	CZ.MB33.S33.L001.R1	CZ.MB13.S13.L001.R1	CZ.MB95.S95.L001.R1	CZ.MB11.S11.L001.R1	CZ.MB40.S40.L001.R1	CZ.MB59.S59.L001.R1	CZ.MB66.S66.L001.R1	CZ.MB35.S35.L001.R1	CZ.MB14.S14.L001.R1	CZ.MB18.S18.L001.R1	CZ.MB130.S130.L001.R1	CZ.MB129.S129.L001.R1	CZ.MB76.S76.L001.R1	CZ.MB125.S125.L001.R1	CZ.MB101.S101.L001.R1	CZ.MB23.S23.L001.R1	CZ.MB75.S75.L001.R1	CZ.MB49.S49.L001.R1	CZ.MB131.S131.L001.R1	CZ.MB46.S46.L001.R1
NR_113065.1 Bacteroides clarus strain JCM 16067 16S ribosomal RNA gene, partial sequence	0	5	12	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	28	10	0	2	2	0	0	0	0	13	0	1	2	0	4	0	0	6	0	11	11	0	0	20	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	13	0	0	0	0	0	0	0
NR_113021.1 Clostridium paraputrificum strain JCM 1293 16S ribosomal RNA gene, partial sequence	0	1	2	9	1	0	2	0	0	2	0	3	2	0	0	5	1	0	0	1	2	4	1	0	14	0	0	3	1	6	0	1	1	0	42	3	5	2	0	8	0	0	0	0	0	0	12	0	9	0	1	0	1	21	0	3	3	2	6	7	0	0	0	2	0	2	0	2	2	0	1	0	1	0	0	1	0	1	3	3	0	3	0	0	3	5	0	0	15	0	1	0	2	0	0	4	0	0	0	0	0	0	1	0	13	0	0	1	4	0	0	0	7	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
NR_113027.1 Clostridium subterminale strain JCM 1417 16S ribosomal RNA gene, partial sequence	0	1	0	8	0	0	0	0	0	0	0	2	5	0	9	0	5	1	1	0	0	0	0	0	4	0	0	1	0	3	0	0	0	0	2	0	5	0	0	1	0	0	0	0	0	19	0	0	3	0	0	1	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NR_113037.1 Eubacterium moniliforme strain JCM 9990 16S ribosomal RNA gene, partial sequence	0	0	0	10	0	0	0	1	0	0	0	3	3	0	2	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	0	0	0	4	7	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	3	1	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	4	0	0	1	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_113028.1 Propionibacterium acnes strain JCM 6425 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_113058.1 Actinomyces johnsonii strain JCM 16129 16S ribosomal RNA gene, partial sequence	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NR_113039.1 Solobacterium moorei strain JCM 10645 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_113195.1 Bacteroides sartorii strain JCM 17136 16S ribosomal RNA gene, partial sequence	0	1	0	0	0	0	0	46	0	145	0	1	3	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1166	0	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	224	8	0	293	0	0	0	0	0	59	0	0	101	0	5	5	0	113	0	201	370	0	0	52	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	88	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	2	0	15	0	0	21	47	0
NR_113150.1 Alistipes finegoldii strain JCM 16770 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	18	0	518	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	18	0	0	0	0	0	0	0	968	0	3684	3602	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	762	0	0	0	0	0	0	0	0	0	1
NR_113076.1 Parabacteroides goldsteinii strain JCM 13446 16S ribosomal RNA gene, partial sequence	0	0	3	0	0	1	7	0	0	1	0	7	3	0	0	1	3	0	0	0	0	1	0	1	19	0	0	0	0	0	0	1	0	4	1	0	1	13	0	0	0	1	0	3	32	0	0	0	988	0	0	0	0	0	0	1	250	13	0	2	0	1	0	0	0	0	0	0	1	0	0	1927	153	2	0	2	1	13	34	4	1	14	0	2	0	104	0	2	0	0	1	0	1	0	1	0	5961	1	1	0	0	0	0	0	0	9	0	4	0	0	87	0	1	0	0	1	8	0	3	0	3	0	0	0	16	0	1	0	2124	0	0	1529	162	0
NR_113073.1 Barnesiella intestinihominis strain JCM 15079 16S ribosomal RNA gene, partial sequence	7	0	13	1	5	0	1	1	1	0	0	20	3	29	5	8	6	9	4	0	0	25	25	30	10	0	5	0	0	77	0	0	115	5	2	0	27	4	1	16	15	0	5	6	10	4	4	0	9	26	4	10	2	0	158	124	0	24	12	0	0	0	6	11	1	0	1	37	0	1	10	0	1	0	0	1	0	2	5	5	5	4	8	19	0	7	3	4	22	4	20	19	0	10	1	2	0	2	0	29	5	11	21	10	0	0	0	3	9	63	69	1	3	0	10	11	0	7	0	22	0	31	3	0	9	1	2	0	1	0	0	0	0	0
NR_113075.1 Odoribacter splanchnicus strain JCM 15291 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NR_113093.1 Prevotella amnii strain JCM 14753 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	25	0	0	0	0
NR_113092.1 Prevotella albensis strain JCM 12258 16S ribosomal RNA gene, partial sequence	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	2	0	1	2	0	0	1	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	2	0	2	0	0	1	0	0	0	1	0	2	1	2	0	0	1	0	0	0	1
NR_113077.1 Paraprevotella clara strain JCM 14859 16S ribosomal RNA gene, partial sequence	0	2	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	0	0	2	9	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	3	0	0	0	4	0	0	0	2	1	2	1	0	0	0	0	2	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	3	3	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
NR_113078.1 Paraprevotella xylaniphila strain JCM 14860 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	3	3	0
NR_113082.1 Porphyromonas catoniae strain JCM 13863 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_113119.1 Prevotella oris strain JCM 8540 16S ribosomal RNA gene, partial sequence	348	2	463	18	3	156	126	3	169	0	438	0	8	15	3	50	4	31	319	465	3	147	820	9	1	1270	27	2434	93	61	72	151	0	6	292	3	4	0	110	4	45	1300	2	373	968	6	23	37	0	6	345	12	4	2	248	4	0	10	21	6	1114	1061	297	48	225	6	10	88	0	0	1	0	2	1	512	1	0	3	0	0	552	22	150	1	10	0	2	371	20	245	6	56	147	59	77	11	1	197	1776	18	100	209	64	1	14	68	215	339	476	17	626	32	8	266	13	41	81	64	142	33	149	101	91	0	183	100	563	350	1	293	503	0	0	297
NR_113096.1 Prevotella bivia strain JCM 6331 16S ribosomal RNA gene, partial sequence	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	1	1	0	0	1	5	0	0	0	1	0	0	5	0	0	0	0	0	2	1	0	6	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	1	7	0	1	0	2	0	2	0	9	6	0	0	0	1	0	0	2	0	0	0	0
NR_113099.1 Prevotella corporis strain JCM 8529 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NR_113098.1 Prevotella buccalis strain JCM 12246 16S ribosomal RNA gene, partial sequence	0	0	2	0	2	0	2	0	0	0	0	0	0	1	0	18	0	0	0	0	2	1	2	9	2	1	1	0	0	0	0	0	0	0	33	0	3	2	0	0	12	0	3	0	0	0	15	0	1	0	0	14	5	1	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	1	0	16	0	17	3	0	0	0	0	8	12	1	0	1	0	0	0	0	1	0	0	27	22	29	0	6	0	12	0	7	0	60	45	0	0	1	0	0	0	0	0	0	0	0
NR_113104.1 Prevotella enoeca strain JCM 12259 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_113101.1 Prevotella denticola strain JCM 13449 16S ribosomal RNA gene, partial sequence	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NR_113103.1 Prevotella disiens strain JCM 6334 16S ribosomal RNA gene, partial sequence	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_113112.1 Prevotella micans strain JCM 16134 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0
NR_113105.1 Prevotella histicola strain JCM 15637 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_113113.1 Prevotella melaninogenica strain JCM 6325 16S ribosomal RNA gene, partial sequence	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	4	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	2	0	3	0	0	0	1	0	2	1	0	2	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1
NR_113117.1 Prevotella oralis strain JCM 12251 16S ribosomal RNA gene, partial sequence	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	9	0	0	0	2	1	0	0	0	2	2	7	0	0	0	1	6	0	0	0	0	4	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	26	0	0	7	1	4	0	5	0	0	0	2	1	1	0	0	12	0	0	0	0	0	0	3	2	9	0	2	0	2	2	1	0	11	6	0	0	0	0	0	0	0	0	0	0	0
NR_113114.1 Prevotella nanceiensis strain JCM 15639 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
NR_113122.1 Prevotella paludivivens strain JCM 13650 16S ribosomal RNA gene, partial sequence	5	1	6	0	4	1	2	5	6	0	2	0	0	0	0	19	1	0	2	0	3	4	6	7	0	1	4	4	1	1	0	10	0	12	13	1	0	0	3	0	2	0	145	4	11	0	6	0	0	1	1	4	1	44	1	0	0	1	41	5	2	1	1	24	2	6	354	1	2	7	0	0	0	0	0	9	0	0	0	0	2	1	5	1	51	0	17	2	307	2	8	4	1	16	3	63	0	1	2	3	2	1	1	0	174	3	0	0	0	0	6	13	4	18	0	8	3	3	2	4	1	29	20	2	3	9	1	1	0	1	1	0	0	2
NR_113120.1 Prevotella oulorum strain JCM 14966 16S ribosomal RNA gene, partial sequence	2	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
NR_113132.1 Peptoclostridium difficile strain JCM 1296 16S ribosomal RNA gene, partial sequence	0	1	0	15	0	0	0	0	0	0	0	1	7	1	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	15	10	0	2	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	3	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0
NR_113123.1 Prevotella timonensis strain 4401737 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_113147.1 Sulfuritalea hydrogenivorans strain sk43H 16S ribosomal RNA gene, partial sequence	0	33	1	0	1	0	3	6	0	0	0	0	1	0	28	4	26	0	0	0	5	0	4	1	0	0	0	0	0	5	0	5	0	3	2	2	2	0	0	0	0	0	1	1	2	2	0	0	8	0	0	3	0	1	0	0	7	5	0	3	0	0	4	5	1	0	11	0	0	5	3	4	26	0	0	0	0	23	1	1	0	7	0	0	4	9	1	8	9	0	1	1	1	0	0	0	26	0	0	0	6	0	0	0	21	0	0	2	2	0	0	6	40	5	0	2	0	0	3	1	0	7	1	0	0	0	0	0	4	0	0	1	4	0
NR_113141.1 Fusobacterium nucleatum subsp. polymorphum strain JCM 12990 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NR_113174.1 Bifidobacterium stellenboschense strain AFB23-3 16S ribosomal RNA gene, partial sequence	0	0	3	0	1	420	0	0	1	1	2948	0	1	0	0	0	2	1	0	3986	0	5	759	3	151	27	1	832	1325	2	2078	1	2	0	0	1	1	48	2	0	1	187	0	2	2	1	0	0	115	1	5	3	1	2	0	1	0	3	0	0	200	681	0	2	0	0	2	0	0	0	2	0	15	1	624	0	0	15	51	1	1	9	1	0	0	24	2	0	0	2	1	0	0	0	2	0	4	2	9310	1	0	2	0	0	2	0	11208	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	2	2382	0	5710	3	346	2332	0	0	6
NR_113173.1 Bifidobacterium saguini strain AFB23-1 16S ribosomal RNA gene, partial sequence	0	0	13	0	0	25	0	0	0	0	114	0	0	0	0	0	0	0	0	39	0	20	21	0	0	15	0	63	25	0	116	0	0	0	0	0	0	0	0	0	0	19	0	39	16	0	0	9	0	0	7	0	0	0	0	0	0	0	0	0	3	28	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	1	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	149	0	0	0	0	0	0	0	123	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	49	0	202	0	15	55	0	0	8
