#OTU ID	CZ.MB64.S64.L001.R1	CZ.MB6.S6.L001.R1	CZ.MB71.S71.L001.R1	CZ.MB132.S132.L001.R1	CZ.MB115.S115.L001.R1	CZ.MB22.S22.L001.R1	CZ.MB41.S41.L001.R1	CZ.MB43.S43.L001.R1	CZ.MB120.S120.L001.R1	CZ.MB96.S96.L001.R1	CZ.MB128.S128.L001.R1	CZ.MB54.S54.L001.R1	CZ.MB107.S107.L001.R1	CZ.MB57.S57.L001.R1	CZ.MB29.S29.L001.R1	CZ.MB93.S93.L001.R1	CZ.MB4.S4.L001.R1	CZ.MB34.S34.L001.R1	CZ.MB116.S116.L001.R1	CZ.MB124.S124.L001.R1	CZ.MB26.S26.L001.R1	CZ.MB123.S123.L001.R1	CZ.MB136.S136.L001.R1	CZ.MB39.S39.L001.R1	CZ.MB55.S55.L001.R1	CZ.MB45.S45.L001.R1	CZ.MB89.S89.L001.R1	CZ.MB135.S135.L001.R1	CZ.MB72.S72.L001.R1	CZ.MB80.S80.L001.R1	CZ.MB127.S127.L001.R1	CZ.MB68.S68.L001.R1	CZ.MB84.S84.L001.R1	CZ.MB70.S70.L001.R1	CZ.MB90.S90.L001.R1	CZ.MB103.S103.L001.R1	CZ.MB105.S105.L001.R1	CZ.MB108.S108.L001.R1	CZ.MB94.S94.L001.R1	CZ.MB106.S106.L001.R1	CZ.MB112.S112.L001.R1	CZ.MB73.S73.L001.R1	CZ.MB51.S51.L001.R1	CZ.MB98.S98.L001.R1	CZ.MB77.S77.L001.R1	CZ.MB53.S53.L001.R1	SZ.SC5.S141.L001.R1	CZ.MB91.S91.L001.R1	CZ.MB24.S24.L001.R1	CZ.MB56.S56.L001.R1	CZ.MB87.S87.L001.R1	CZ.MB20.S20.L001.R1	CZ.MB61.S61.L001.R1	CZ.MB113.S113.L001.R1	SZ.SC6.S142.L001.R1	CZ.MB104.S104.L001.R1	CZ.MB110.S110.L001.R1	CZ.MB109.S109.L001.R1	CZ.MB5.S5.L001.R1	CZ.MB85.S85.L001.R1	CZ.MB1.S1.L001.R1	CZ.MB97.S97.L001.R1	CZ.MB44.S44.L001.R1	CZ.MB100.S100.L001.R1	CZ.MB119.S119.L001.R1	SZ.SC4.S140.L001.R1	SZ.SC3.S139.L001.R1	CZ.MB82.S82.L001.R1	CZ.MB17.S17.L001.R1	CZ.MB122.S122.L001.R1	SZ.SC7.S143.L001.R1	CZ.MB28.S28.L001.R1	CZ.MB88.S88.L001.R1	CZ.MB19.S19.L001.R1	CZ.MB81.S81.L001.R1	CZ.MB83.S83.L001.R1	CZ.MB25.S25.L001.R1	CZ.MB133.S133.L001.R1	CZ.MB121.S121.L001.R1	CZ.MB99.S99.L001.R1	CZ.MB42.S42.L001.R1	CZ.MB69.S69.L001.R1	CZ.MB86.S86.L001.R1	CZ.MB31.S31.L001.R1	CZ.MB30.S30.L001.R1	CZ.MB47.S47.L001.R1	CZ.MB7.S7.L001.R1	CZ.MB134.S134.L001.R1	CZ.MB8.S8.L001.R1	CZ.MB27.S27.L001.R1	CZ.MB32.S32.L001.R1	CZ.MB2.S2.L001.R1	CZ.MB67.S67.L001.R1	CZ.MB52.S52.L001.R1	CZ.MB9.S9.L001.R1	CZ.MB102.S102.L001.R1	CZ.MB60.S60.L001.R1	CZ.MB16.S16.L001.R1	CZ.MB63.S63.L001.R1	CZ.MB92.S92.L001.R1	CZ.MB50.S50.L001.R1	CZ.MB79.S79.L001.R1	CZ.MB48.S48.L001.R1	CZ.MB21.S21.L001.R1	CZ.MB62.S62.L001.R1	CZ.MB36.S36.L001.R1	CZ.MB111.S111.L001.R1	CZ.MB58.S58.L001.R1	CZ.MB114.S114.L001.R1	CZ.MB3.S3.L001.R1	CZ.MB118.S118.L001.R1	CZ.MB126.S126.L001.R1	CZ.MB65.S65.L001.R1	CZ.MB117.S117.L001.R1	CZ.MB38.S38.L001.R1	CZ.MB78.S78.L001.R1	CZ.MB12.S12.L001.R1	CZ.MB37.S37.L001.R1	CZ.MB10.S10.L001.R1	CZ.MB33.S33.L001.R1	CZ.MB13.S13.L001.R1	CZ.MB95.S95.L001.R1	CZ.MB11.S11.L001.R1	CZ.MB40.S40.L001.R1	CZ.MB59.S59.L001.R1	CZ.MB66.S66.L001.R1	CZ.MB35.S35.L001.R1	CZ.MB14.S14.L001.R1	CZ.MB18.S18.L001.R1	CZ.MB130.S130.L001.R1	CZ.MB129.S129.L001.R1	CZ.MB76.S76.L001.R1	CZ.MB125.S125.L001.R1	CZ.MB101.S101.L001.R1	CZ.MB23.S23.L001.R1	CZ.MB75.S75.L001.R1	CZ.MB49.S49.L001.R1	CZ.MB131.S131.L001.R1	SZ.SC1.S137.L001.R1	CZ.MB46.S46.L001.R1	SZ.SC2.S138.L001.R1	CZ.MB15.S15.L001.R1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Mobilitalea;s__Mobilitalea_sibirica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Moryella;s__Moryella_indoligenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Muricomes;s__Muricomes_intestini	2	0	1	1	0	0	1	7	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	4	0	0	0	29	0	0	0	0	27	0	2	1	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	29	0	1	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Murimonas;s__Murimonas_intestini	11	4	0	10	20	0	17	4	4	16	0	9	5	34	4	11	10	7	15	0	39	9	1	9	0	0	17	0	0	107	2	21	30	16	10	2	21	3	3	5	9	1	3	1	0	10	0	18	0	0	21	5	24	21	0	3	8	20	0	9	9	10	1	0	5	0	0	2	12	7	1	0	8	12	0	15	0	0	19	2	8	3	0	1	27	0	1	6	2	1	0	3	16	2	11	8	12	9	32	8	20	0	0	0	24	5	6	9	26	0	6	0	21	5	16	0	13	24	0	45	1	5	2	16	4	5	2	2	27	0	1	1	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium_sinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella	1	7	31	15	86	0	2	58	0	133	3	4	32	499	184	126	174	3	0	0	142	106	95	464	50	3	8	1	0	81	2	4	108	26	5	12	113	139	0	54	104	2	121	0	0	105	0	100	0	42	242	3	163	98	0	27	2	606	4	86	45	20	1	0	0	0	0	105	0	33	1	0	19	35	67	165	0	33	80	0	35	55	18	62	25	0	44	0	44	17	69	20	0	44	38	69	28	0	91	69	61	1	0	0	60	149	18	3	18	12	0	0	0	4	2	0	71	125	0	209	0	0	0	0	8	0	0	13	104	0	0	0	1	3	0	0	0	0	0	0	6	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio	17	0	1	32	23	0	2	0	0	1	8	4	1	20	0	62	0	1	33	21	14	14	6	1	4	61	16	13	2	169	14	3	66	2	44	0	0	0	17	15	39	19	0	1	1	1	0	71	0	7	29	31	28	14	0	8	4	24	0	8	18	1	4	49	15	0	0	9	16	0	0	2	0	1	0	0	0	1	0	45	0	0	4	0	14	0	2	0	4	7	2	0	3	8	0	15	39	2	31	70	0	0	0	31	11	5	7	5	31	6	2	0	0	0	11	0	11	1	18	33	17	10	30	0	4	0	4	16	0	0	0	0	6	0	4	0	0	0	0	1	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Parasporobacterium;s__Parasporobacterium_paucivorans	26	35	0	1	4	0	195	1	2	0	0	41	28	5	12	214	28	0	19	0	27	0	0	9	33	0	3	0	0	64	0	384	34	0	4	14	7	5	26	1	35	0	3	0	0	24	0	111	0	32	4	0	19	6	0	12	0	5	0	102	29	0	0	0	161	0	0	1	194	0	0	76	2	0	0	22	0	2	0	0	0	0	0	18	276	0	12	3	0	78	0	0	277	22	15	16	7	277	6	35	3	0	0	0	11	9	16	38	7	60	326	0	98	176	20	1	12	0	2	10	6	348	2	28	12	748	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio_ruminis	5	0	1	17	2	0	0	0	0	0	2	2	1	10	0	23	0	1	17	11	9	8	2	0	3	26	7	5	1	225	7	0	37	0	11	0	0	0	6	13	11	16	0	0	0	0	0	29	0	6	6	16	9	4	0	4	3	7	0	3	22	0	1	20	9	0	0	4	8	0	0	1	0	0	0	0	0	0	0	27	0	0	2	0	3	0	1	0	1	2	0	1	0	7	7	17	13	0	6	29	4	0	0	22	4	4	0	6	8	5	0	0	0	0	7	0	5	0	11	19	6	5	13	0	3	1	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella;s__Robinsoniella_peoriensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Syntrophococcus	3	3	6	6	39	15	3	4	3	12	5	10	11	17	6	35	6	2	1	3	27	30	5	48	33	3	11	1	0	19	11	3	15	6	8	46	20	22	2	9	45	16	10	11	17	12	958	23	0	27	2	7	69	22	934	24	25	13	1	10	7	3	1	5	1	11235	5383	10	0	8	8916	18	33	12	1	8	0	0	4	8	6	3	5	15	5	25	0	7	2	39	8	22	2	16	18	13	21	0	69	5	10	2	16	0	27	5	5	8	13	9	0	2	2	0	20	21	6	13	3	4	7	1	3	3	19	0	31	3	15	14	1	3	3	0	2	1	0	0	4701	0	4361	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_hominis	0	0	38	6	0	0	0	0	0	0	0	3	0	0	2	0	1	0	0	0	19	30	3	0	15	0	0	0	0	30	0	0	28	3	0	3	0	4	0	10	0	0	7	0	0	6	0	0	0	38	0	24	0	0	0	2	13	0	0	2	5	0	0	0	0	0	0	4	0	0	0	11	1	1	1	1	0	0	1	0	0	1	5	1	8	0	23	2	0	8	5	0	0	5	5	6	0	0	0	0	2	2	0	0	0	0	0	11	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	11	0	2	0	0	1	2	0	0	2	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis	2	0	0	16	0	0	0	43	0	31	0	1	0	12	0	2	0	0	1	0	7	1	0	0	2	0	0	0	0	8	0	5	21	64	1	0	0	1	0	35	13	0	1	0	0	0	0	14	0	11	1	1	4	10	0	0	1	5	0	0	2	73	0	0	1	0	0	3	0	25	0	0	1	54	0	1	0	0	48	0	52	117	1	4	8	0	31	3	2	5	0	0	0	1	4	0	3	0	2	10	0	9	0	1	6	7	2	4	0	2	0	0	0	0	91	0	2	9	2	4	0	0	2	0	0	1	0	0	33	0	12	44	0	0	0	0	1	1	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_hominis;t__Roseburia_hominis_A2-183	0	1	103	24	0	0	0	0	0	0	0	8	1	0	6	0	9	0	0	0	46	95	16	0	38	0	0	1	0	59	0	0	72	1	0	4	4	11	0	30	0	0	17	1	0	22	0	0	0	121	0	53	0	0	0	6	40	0	0	0	1	0	0	0	0	0	0	10	0	1	0	24	5	0	3	4	0	1	0	0	0	0	6	6	26	0	55	4	0	8	4	2	0	10	2	4	0	0	0	0	4	6	0	0	0	0	0	56	0	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1285	7	0	1	0	1	2	2	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis;t__Roseburia_intestinalis_L1-82	0	0	0	1	1	0	1	89	0	65	0	0	0	9	0	2	0	0	2	0	11	0	1	0	3	1	3	0	0	17	0	7	15	134	0	1	0	4	0	5	25	0	2	0	0	1	0	33	0	31	1	0	9	6	0	2	0	4	0	0	3	167	0	0	0	0	0	2	0	64	0	0	2	132	0	0	0	0	112	0	82	244	0	4	4	0	36	0	0	7	2	1	0	0	0	0	8	1	0	12	0	22	1	0	13	11	7	9	3	2	1	0	0	0	222	0	3	14	0	10	0	1	7	0	0	3	1	0	95	0	37	154	0	4	0	0	2	6	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_inulinivorans	20	0	0	41	34	0	9	0	0	0	0	1	6	9	0	54	2	41	23	0	7	0	0	80	3	0	3	0	0	45	0	151	78	0	1	3	2	7	8	38	2	0	0	0	1	1	1	4	0	7	6	0	0	0	0	3	7	8	0	1	9	0	0	0	31	9	0	5	17	0	0	0	14	1	0	0	0	8	0	0	0	1	45	15	32	13	144	87	0	0	12	0	30	0	35	22	0	6	16	1	0	1	3	0	16	0	3	90	6	6	2	0	3	8	8	1	1	0	1	17	15	27	27	44	2	17	2	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_inulinivorans;t__Roseburia_inulinivorans_DSM_16841	33	0	0	100	26	0	5	0	0	0	0	4	0	3	1	66	0	12	35	0	12	0	0	114	6	0	6	2	0	9	0	230	98	0	0	5	1	12	8	63	0	0	0	0	0	1	1	0	0	23	1	0	0	0	0	5	4	12	0	1	1	0	0	0	42	12	0	2	31	0	0	1	21	0	0	0	0	17	0	0	0	1	113	41	91	0	326	48	0	2	5	2	58	0	28	6	0	7	22	2	0	0	0	0	18	0	2	128	10	3	0	0	5	8	16	0	0	0	0	10	18	62	38	54	1	32	2	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Shuttleworthia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	333	3	0	0	0	3	0	1	27	1	0	0	0	0	0	0	0	0	0	267	206	0	0	0	677	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	0	121	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Stomatobaculum	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	14	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella	9	6	2	22	156	0	310	177	18	296	1	9	6	27	26	104	5	50	6	0	1	3	2	23	26	7	43	13	3	702	3	1076	45	1834	40	0	8	17	14	31	61	6	4	1	31	14	1	148	0	48	27	5	8	65	0	3	20	77	3	26	5	1338	10	10	5	0	4	9	3	341	23	0	131	261	3	18	10	10	146	9	1122	466	21	26	6	0	31	136	11	2	14	0	6	7	120	5	35	77	45	47	0	190	1	2	13	17	331	137	17	8	1	1	174	152	10	0	56	13	3	5	11	45	17	241	0	46	4	3	259	1	0	147	0	16	1	1	6	201	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Syntrophococcus;s__Syntrophococcus_sucromutans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter	67	635	104	133	696	5	126	252	46	75	2	703	393	993	1116	507	1088	218	38	1	902	101	29	555	1810	17	179	5	0	869	1	402	830	354	184	839	1179	1351	20	297	332	4	521	17	130	1133	1	741	0	2698	235	67	546	415	1	588	483	1644	55	1468	426	167	5	16	70	3	2	616	75	102	12	462	266	57	380	1564	2	315	53	4	302	115	734	1435	532	20	693	103	165	792	555	372	153	659	704	818	323	54	795	124	207	324	3	1	668	328	254	589	189	486	37	1	319	140	759	359	663	570	119	472	98	80	123	244	610	90	738	90	40	38	0	73	2	22	0	6	7	236	0	1	18	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella;s__[Clostridium]_lactatifermentans	0	0	0	0	0	0	1	2	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	53	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella;s__Tyzzerella_nexilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_ruminantium	2	6	0	0	136	0	7	4	0	6	0	0	1	5	0	149	3	2	1	0	0	0	0	112	4	1	24	0	0	3	0	16	0	28	30	1	0	4	0	2	84	0	2	0	2	4	0	237	0	7	0	0	89	73	0	0	1	0	0	8	2	21	0	0	5	1	0	7	0	7	0	0	4	2	1	2	0	5	6	0	10	7	3	8	1	0	6	1	0	3	1	0	9	1	0	1	45	2	108	35	0	6	0	0	193	61	74	1	47	0	5	0	2	5	102	7	46	125	12	0	17	1	34	4	91	1	215	21	10	0	0	1	0	0	0	0	0	8	0	0	2	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_ruminantium;t__Oscillibacter_ruminantium_GH1	0	1	0	2	3	0	2	1	0	1	0	0	0	0	3	3	2	0	0	0	1	0	0	4	7	0	3	0	0	0	0	3	1	8	0	0	0	7	0	0	3	0	3	0	0	5	0	8	0	6	0	0	1	3	0	0	0	2	0	6	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	2	0	3	1	0	1	0	0	2	1	0	5	1	0	0	2	0	3	0	2	1	0	0	3	2	1	0	4	0	0	0	0	1	1	0	2	10	0	0	1	0	1	1	1	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Cryptanaerobacter;s__Cryptanaerobacter_phenolicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_valericigenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfitobacterium;s__Desulfitobacterium_metallireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfitobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Dehalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
